Window,Renyi Entropy,,
100,1.662880301,,
200,1.870450852,,
300,2.26779732,,
400,2.235010397,,
500,1.359304991,,
600,1.143872056,10.539315,
700,1.108625537,,
800,1.177735891,,
900,1.515473224,,
1000,1.045390437,,
1100,0.951306758,,
1200,1.124025789,6.922558,
1300,1.125080648,,
1400,1.429811974,,
1500,1.213602614,,
1600,1.361122363,,
1700,0.921165733,,
1800,1.012928865,,
1900,1.013650135,,
2000,0.950555433,9.112819,
2100,1.444702338,,
2200,0.493779952,,
2300,0.981152851,,
2400,1.465210529,,
2500,2.113979328,,
2600,2.213392579,,
2700,1.210851007,9.923069,
2800,1.837435472,,
2900,2.126118023,,
3000,1.648917279,,
3100,1.355008053,,
3200,0.774854831,,
3300,1.111339255,8.853672,
3400,2.156255658,,
3500,2.038578336,,
3600,1.479967592,,
3700,1.159917491,,
3800,2.413592903,,
3900,1.743702966,,
4000,2.691696886,13.683712,
,,,
,,,
,,59.035145,
,,,1.51372167
