Window,Renyi Entropy
1,0.518790003
2,1.254436753
3,0.876588167
4,2.530768138
5,2.613585531
6,1.790451755
7,2.012460559
8,2.48238279
9,1.042180372
10,1.746406613
11,1.247464068
12,1.041458734
13,1.547323205
14,0.695466792
15,1.637519383
16,0.79907422
17,1.840620018
18,1.177979001
19,0.804703652
20,1.322469512
21,0.861525121
22,1.04349297
23,1.074551976
24,1.163242609
25,1.194158498
26,1.045397977
27,1.379670304
28,1.469494149
29,1.55277122
30,0.920960097
31,1.397985305
32,1.32315557
33,0.920703885
34,0.920960097
35,1.171703669
36,0.858937752
37,0.74916241
38,1.323207145
39,0.855349455
40,1.045350229
41,1.045555087
42,1.024293342
43,0.230513708
44,0.785060714
45,1.039772258
46,0.91924127
47,1.528838086
48,1.394305
49,1.286290016
50,1.912788716
51,1.62134807
