Window,Renyi Entropy10,Renyi Entropy50,Renyi Entropy100,Renyi Entropy200,Renyi Entropy500
10,0,,,,
20,0,,,,
30,0,,,,
40,0.970950594,,,,
50,2,1.374185416,,,
60,0.970950594,,,,
70,1.295461844,,,,
80,1,,,,
90,0.918295834,,,,
100,0.970950594,1.561767711,2.419056391,,
110,0.970950594,,,,
120,0.970950594,,,,
130,0.970950594,,,,
140,0.970950594,,,,
150,0.970950594,0.970950594,,,
160,2,,,,
170,1.846439345,,,,
180,2.521928095,,,,
190,1.584962501,,,,
200,1.5,2.781567793,2.674757104,2.749911517,
210,1.521928095,,,,
220,0,,,,
230,1.521928095,,,,
240,1.846439345,,,,
250,1.459147917,3.041381483,,,
260,1.5,,,,
270,1.836591668,,,,
280,1.378783493,,,,
290,1.846439345,,,,
300,1.295461844,2.61353887,3.208633003,,
310,0.99107606,,,,
320,1.570950594,,,,
330,2.121928095,,,,
340,1.921928095,,,,
350,0.921928095,2.890547733,,,
360,2.246439345,,,,
370,1.392147224,,,,
380,1.891061112,,,,
390,1.921928095,,,,
400,1.370950594,3.375814584,3.373888635,3.724113299,
410,1.521928095,,,,
420,1.760964047,,,,
430,1.921928095,,,,
440,0,,,,
450,1.485475297,1.758469668,,,
460,0.918295834,,,,
470,1.570950594,,,,
480,1,,,,
490,1.521928095,,,,
500,1.435520504,2.427898836,2.258941738,,3.607728266
510,2.121928095,,,,
520,1.760964047,,,,
530,0.970950594,,,,
540,1.521928095,,,,
550,0,2.081146095,,,
560,0.970950594,,,,
570,0.970950594,,,,
580,1.370950594,,,,
590,0,,,,
600,0.970950594,1.582966195,2.095474539,2.502993543,
610,0.970950594,,,,
620,0.970950594,,,,
630,1.521928095,,,,
640,1.921928095,,,,
650,1.521928095,1.955084952,,,
660,0,,,,
670,0.721928095,,,,
680,1.370950594,,,,
690,2.321928095,,,,
700,0.721928095,1.624381458,2.05963851,,
710,1.360964047,,,,
720,1.360964047,,,,
730,1.485475297,,,,
740,1.760964047,,,,
750,1.370950594,2.370699333,,,
760,0.970950594,,,,
770,0.468995594,,,,
780,1,,,,
790,1.360964047,,,,
800,0.881290899,1.217796812,2.086597847,2.310572289,
810,0.970950594,,,,
820,0.970950594,,,,
830,1.846439345,,,,
840,1.370950594,,,,
850,1.521928095,2.237423378,,,
860,1.370950594,,,,
870,0.970950594,,,,
880,1.521928095,,,,
890,1.370950594,,,,
900,0.970950594,2.049432036,2.353551255,,
910,0.721928095,,,,
920,1.521928095,,,,
930,0.721928095,,,,
940,1.370950594,,,,
950,1.370950594,1.65366069,,,
960,0.970950594,,,,
970,1.921928095,,,,
980,1.921928095,,,,
990,1.370950594,,,,
1000,1.521928095,2.192487689,2.154251374,2.353998197,2.647935852
1010,0.721928095,,,,
1020,1.370950594,,,,
1030,1.360964047,,,,
1040,1.370950594,,,,
1050,0.970950594,1.549866168,,,
1060,0.970950594,,,,
1070,0.721928095,,,,
1080,1.370950594,,,,
