Window,Renyi Entropy
1,1.374185416
2,1.561767711
3,0.970950594
4,2.781567793
5,3.041381483
6,2.61353887
7,2.890547733
8,3.375814584
9,1.758469668
10,2.427898836
11,2.081146095
12,1.582966195
13,1.955084952
14,1.624381458
15,2.370699333
16,1.217796812
17,2.237423378
18,2.049432036
19,1.65366069
20,2.192487689
21,1.549866168
22,1.887351814
23,2.269980506
24,1.773568158
25,1.790232831
26,2.081541933
27,2.050707863
28,2.206734158
29,2.319599503
30,1.839330832
31,2.37282219
32,2.557780939
33,1.899721832
34,1.839330832
35,1.859236536
36,1.456765727
37,1.641526382
38,2.652878689
39,1.346195099
40,1.994251374
41,2.256639683
42,1.551737433
43,0.529360865
44,0.942683189
45,1.571346433
46,1.515336213
47,2.407301504
48,2.253338821
49,2.254132487
50,2.354534212
51,2.322471478
