SIPS,Stdevpack,Stdevbyte,NbFlow,NbIntFlow,Class
41,0.389775677,75.80460705,41,0.516129032,1
41,0.45074802,119.7215856,41,0.516129032,1
13,0.835164654,351.0188875,26,1,0
13,0.714142843,307.6807914,26,1,0
11,0.588235294,334.9962919,22,1,0
12,0.644899265,329.904769,24,1,0
41,0.530054088,115.6107791,41,0.516129032,1
41,0.125971769,53.1600865,41,0.516129032,1
12,0.532203906,299.2084988,25,1,0
41,0.45074802,117.7193129,41,0.516129032,1
13,0.627992834,338.6961018,26,1,0
41,0.45074802,115.7175011,41,0.516129032,1
41,0.45074802,120.7228877,41,0.516129032,1
12,0.433012702,324.5709371,24,1,0
41,0.45074802,114.2164593,41,0.516129032,1
41,0.45074802,105.9661266,41,0.516129032,1
12,0.73543098,328.0370235,25,1,0
41,0.45074802,110.7151523,41,0.516129032,1
41,0.279828251,78.28699968,41,0.516129032,1
41,0.45074802,102.7188205,41,0.516129032,1
41,0.45074802,105.2165944,41,0.516129032,1
13,0.556776436,342.1893399,26,1,0
41,0.125971769,55.93146542,41,0.516129032,1
12,0.566859453,327.9712549,25,1,0
12,0.673002302,296.8438609,24,1,0
41,0.45074802,112.7157014,41,0.516129032,1
41,0.45074802,97.22765266,41,0.516129032,1
41,0.279828251,72.39054136,41,0.516129032,1
13,0.661437828,350.9665191,26,1,0
12,0.574745518,331.2834439,25,1,0
41,0.279828251,74.64830652,41,0.516129032,1
41,0.279828251,79.54202941,41,0.516129032,1
41,0.45074802,113.2159218,41,0.516129032,1
12,0.674013078,330.7321727,25,1,0
12,0.816496581,302.2456116,24,1,0
41,0.45074802,112.2155138,41,0.516129032,1
13,0.476969601,333.1037226,26,1,0
12,0.653140718,322.3804337,25,1,0
41,0.279828251,77.65954173,41,0.516129032,1
12,0.853460639,323.3833724,24,1,0
12,0.590788008,321.7323736,25,1,0
12,0.715866869,338.4272581,25,1,0
41,0.45074802,110.7151523,41,0.516129032,1
13,0.446514277,347.7572285,26,1,0
12,0.598351645,316.6141903,24,1,0
41,0.279828251,76.90664402,41,0.516129032,1
12,0.666666667,333.7718262,24,1,0
41,0.45074802,116.7183479,41,0.516129032,1
13,0.58683473,310.4431661,26,1,0
41,0.45074802,121.2235789,41,0.516129032,1
12,0.682112731,322.6095122,24,1,0
41,0.45074802,120.2222231,41,0.516129032,1
12,0.488794095,322.5399597,25,1,0
12,0.744787984,318.5165766,25,1,0
12,0.497222201,335.4420297,25,1,0
40,0,0,40,0.5,1
41,0.45074802,108.2152488,41,0.516129032,1
41,0.125971769,49.38093343,41,0.516129032,1
13,0.734846923,315.9542441,26,1,0
12,0.58133479,326.4010426,25,1,0
12,0.682112731,304.5900351,24,1,0
13,0.572276157,298.3675586,26,1,0
13,0.792148976,334.3135046,26,1,0
41,0.125971769,44.84594975,41,0.516129032,1
12,0.645139509,353.2541137,25,1,0
13,0.787003812,331.5805323,26,1,0
41,0.353369392,81.04479048,41,0.516129032,1
41,0.530054088,119.0842443,41,0.516129032,1
13,0.591079521,328.1580555,26,1,0
12,0.957024065,298.675351,24,1,0
40,0,0,40,0.5,1
12,0.714414314,349.8378503,25,1,0
41,0.45074802,101.7200101,41,0.516129032,1
41,0.125971769,49.88482051,41,0.516129032,1
12,0.496903995,326.8579219,24,1,0
41,0.279828251,74.27197118,41,0.516129032,1
41,0.45074802,105.7162725,41,0.516129032,1
12,0.488794095,340.064045,25,1,0
12,0.5,286.8513402,24,1,0
41,0.279828251,82.93131977,41,0.516129032,1
42,0.443871022,118.8589919,42,0.515625,1
41,0.45074802,119.7215856,41,0.516129032,1
13,0.523808171,346.5547567,26,1,0
12,0.590788008,322.8845449,25,1,0
42,0.443871022,104.0849216,42,0.515625,1
41,0.279828251,81.0482571,41,0.516129032,1
41,0.279828251,87.07505105,41,0.516129032,1
13,0.768114575,297.1525534,26,1,0
11,0.503448317,336.6682896,22,1,0
40,0,0,40,0.5,1
12,0.775293652,331.7161733,24,1,0
41,0.353369392,85.51882426,41,0.516129032,1
41,0.279828251,73.89565195,41,0.516129032,1
41,0.45074802,106.7157476,41,0.516129032,1
13,0.731009576,324.4119911,26,1,0
13,0.607762289,340.8674082,26,1,0
42,0.275549876,86.10006074,42,0.515625,1
41,0.45074802,113.7161746,41,0.516129032,1
41,0.45074802,110.2151004,41,0.516129032,1
41,0.45074802,111.2152388,41,0.516129032,1
13,0.591079521,331.5570379,26,1,0
13,0.578251675,337.1748767,26,1,0
13,0.619979838,322.1547726,26,1,0
41,0.125971769,57.19118311,41,0.516129032,1
41,0.45074802,109.7150837,41,0.516129032,1
13,0.818153409,333.5357702,26,1,0
12,0.42514459,326.6212959,25,1,0
12,0.673002302,343.757707,24,1,0
12,0.464829519,326.806808,25,1,0
40,0,0,40,0.5,1
12,0.851916529,320.5779666,25,1,0
41,0.405798246,81.85410774,41,0.516129032,1
41,0.45074802,108.7151573,41,0.516129032,1
42,0.124019593,48.61568034,42,0.515625,1
41,0.279828251,87.45181667,41,0.516129032,1
12,0.539954856,315.6112008,25,1,0
13,0.578251675,306.4371224,26,1,0
12,0.387655786,351.4485389,25,1,0
41,0.45074802,106.2159905,41,0.516129032,1
13,0.781024968,314.5430654,26,1,0
41,0.45074802,109.7150837,41,0.516129032,1
41,0.279828251,72.01430659,41,0.516129032,1
41,0.45074802,99.22377719,41,0.516129032,1
12,0.678141979,310.7872061,24,1,0
13,0.726291952,320.3394986,26,1,0
12,0.674013078,315.6554727,25,1,0
12,0.766327357,311.8687186,25,1,0
13,0.695970545,315.2809769,26,1,0
12,0.598351645,318.8928898,24,1,0
41,0.45074802,102.2193933,41,0.516129032,1
41,0.125971769,48.37315928,41,0.516129032,1
41,0.45074802,101.2206716,41,0.516129032,1
41,0.279828251,88.20537742,41,0.516129032,1
41,0.45074802,109.2151025,41,0.516129032,1
41,0.45074802,103.2182911,41,0.516129032,1
12,0.659996642,334.2763021,25,1,0
41,0.279828251,82.93131977,41,0.516129032,1
11,0.526955084,316.3976901,22,1,0
40,0,0,40,0.5,1
12,0.615514439,311.8850344,24,1,0
12,0.499306999,318.3899289,25,1,0
12,0.665742665,330.5859033,25,1,0
13,0.677772086,304.4251139,26,1,0
41,0.279828251,74.64830652,41,0.516129032,1
41,0.530054088,113.1317687,41,0.516129032,1
13,0.572276157,336.2317272,26,1,0
41,0.353369392,73.97608558,41,0.516129032,1
13,0.58683473,280.6935061,26,1,0
41,0.45074802,121.2235789,41,0.516129032,1
41,0.45074802,107.2155434,41,0.516129032,1
41,0.59130009,99.7747098,41,0.516129032,1
12,0.678110459,327.5616539,25,1,0
12,0.595458342,327.609325,25,1,0
12,0.763762616,344.8282673,24,1,0
12,0.659996642,311.7283481,25,1,0
41,0.45074802,108.2152488,41,0.516129032,1
41,0.279828251,76.1538044,41,0.516129032,1
12,0.821677748,320.0069866,24,1,0
41,0.45074802,97.22765266,41,0.516129032,1
41,0.45074802,117.7193129,41,0.516129032,1
41,0.125971769,53.1600865,41,0.516129032,1
12,0.566859453,350.9260405,25,1,0
41,0.45074802,113.7161746,41,0.516129032,1
13,0.726291952,326.7389239,26,1,0
11,0.441176471,344.8561608,22,1,0
41,0.45074802,105.7162725,41,0.516129032,1
41,0.45074802,100.7213783,41,0.516129032,1
12,0.577350269,308.3216552,24,1,0
12,0.566859453,342.0363898,25,1,0
12,0.704654097,306.3082383,25,1,0
13,0.668954408,335.079319,26,1,0
41,0.45074802,111.7153595,41,0.516129032,1
41,0.214582818,45.38462061,41,0.516129032,1
41,0.372367625,83.43013178,41,0.516129032,1
41,0.45074802,113.2159218,41,0.516129032,1
41,0.45074802,111.2152388,41,0.516129032,1
41,0.279828251,80.67168112,41,0.516129032,1
41,0.279828251,84.81467217,41,0.516129032,1
13,0.589491306,324.2280987,26,1,0
41,0.45074802,118.2198388,41,0.516129032,1
41,0.125971769,48.62510282,41,0.516129032,1
12,0.515201028,294.466561,24,1,0
12,0.711458249,316.1383263,24,1,0
41,0.125971769,54.16786066,41,0.516129032,1
41,0.45074802,113.0908637,41,0.516129032,1
12,0.75034618,339.2886154,25,1,0
12,0.51028209,279.0995414,25,1,0
41,0.279828251,80.67168112,41,0.516129032,1
12,0.595458342,331.4162728,25,1,0
11,0.876450849,316.7800491,22,1,0
41,0.465232423,99.8289484,41,0.516129032,1
12,0.673002302,333.4814983,24,1,0
12,0.590788008,334.7425904,25,1,0
41,0.45074802,100.7213783,41,0.516129032,1
13,0.670820393,281.5274842,26,1,0
41,0.45074802,116.7183479,41,0.516129032,1
12,0.740591962,321.0657418,25,1,0
13,0.688748866,311.7107624,26,1,0
13,0.565132728,308.9707096,26,1,0
12,0.590788008,321.1822689,25,1,0
13,0.678232998,299.8029092,26,1,0
41,0.45074802,121.2235789,41,0.516129032,1
13,0.768114575,328.3472971,26,1,0
41,0.279828251,75.40102464,41,0.516129032,1
41,0.45074802,115.217123,41,0.516129032,1
41,0.45074802,113.7161746,41,0.516129032,1
13,0.509901951,334.7377621,26,1,0
41,0.353369392,88.87840406,41,0.516129032,1
13,0.670354384,335.1369533,26,1,0
41,0.279828251,81.0482571,41,0.516129032,1
12,0.829156198,324.992716,24,1,0
13,0.705336799,345.0105714,26,1,0
12,0.590563656,336.7771122,24,1,0
41,0.45074802,116.2179095,41,0.516129032,1
40,0.217944947,11.76902715,40,0.5,1
12,0.704654097,360.4872559,25,1,0
12,0.61378441,336.1406059,25,1,0
41,0.45074802,118.2198388,41,0.516129032,1
13,0.7,335.0647512,26,1,0
13,0.591079521,332.2139032,26,1,0
13,0.741198354,293.5967941,26,1,0
13,0.663324958,336.9004898,26,1,0
41,0.279828251,72.76679355,41,0.516129032,1
13,0.433012702,342.7366737,26,1,0
12,0.598351645,328.9798333,24,1,0
13,0.591079521,333.5129673,26,1,0
41,0.45074802,106.2159905,41,0.516129032,1
12,0.574745518,331.0550466,25,1,0
41,0.45074802,100.7213783,41,0.516129032,1
12,0.586670969,326.5494198,25,1,0
41,0.125971769,55.42757835,41,0.516129032,1
13,0.583095189,339.7447709,26,1,0
41,0.45074802,105.2165944,41,0.516129032,1
41,0.45074802,111.7153595,41,0.516129032,1
41,0.45074802,110.7151523,41,0.516129032,1
12,0.41573971,340.9280997,24,1,0
41,0.279828251,86.32154997,41,0.516129032,1
12,0.598351645,335.9512051,24,1,0
41,0.353369392,82.16267239,41,0.516129032,1
12,0.521026049,336.2920838,25,1,0
41,0.45074802,112.7157014,41,0.516129032,1
41,0.214582818,45.63096781,41,0.516129032,1
41,0.125971769,51.39648174,41,0.516129032,1
41,0.279828251,76.53021684,41,0.516129032,1
41,0.530054088,117.5952245,41,0.516129032,1
41,0.279828251,86.69829544,41,0.516129032,1
12,0.655257874,307.461918,25,1,0
41,0.45074802,110.7151523,41,0.516129032,1
12,0.488794095,309.978482,25,1,0
41,0.45074802,117.2188158,41,0.516129032,1
13,0.741619849,336.6907697,26,1,0
12,0.840458917,338.3401649,25,1,0
13,0.764444243,332.959442,26,1,0
40,0,0,40,0.5,1
41,0.45074802,117.2188158,41,0.516129032,1
12,0.711986803,332.5528554,25,1,0
40,0,0,40,0.5,1
12,0.577350269,343.9546462,24,1,0
42,0.443871022,116.8875286,42,0.515625,1
12,0.714414314,337.0028071,25,1,0
41,0.45074802,96.72874739,41,0.516129032,1
41,0.45074802,121.7242965,41,0.516129032,1
40,0,0,40,0.5,1
13,0.614410286,317.5904556,26,1,0
41,0.45074802,97.72660904,41,0.516129032,1
42,0.443871022,117.3803538,42,0.515625,1
41,0.45074802,119.2209755,41,0.516129032,1
41,0.279828251,84.81467217,41,0.516129032,1
12,0.757693687,315.9328019,25,1,0
13,0.659071316,339.2584413,26,1,0
12,0.598351645,322.97017,24,1,0
41,0.45074802,113.7161746,41,0.516129032,1
13,0.46837485,328.8719118,26,1,0
12,0.678110459,333.4640482,25,1,0
13,0.866025404,350.0448543,26,1,0
41,0.45074802,96.72874739,41,0.516129032,1
13,0.781024968,311.2975426,26,1,0
41,0.279828251,78.41249589,41,0.516129032,1
13,0.703118056,338.7445341,26,1,0
13,0.670820393,321.5462554,26,1,0
12,0.73543098,323.9849961,25,1,0
41,0.125971769,47.86927221,41,0.516129032,1
41,0.45074802,117.2188158,41,0.516129032,1
13,0.653834842,302.5611829,26,1,0
12,0.81875522,327.7348094,25,1,0
