Average Packets per Flow,Average Bytes per Flow,Average Duration per Flow,Source IP Address Generation Speed,Percentage of Pair Flow,label
0.062510736,0.011197693,5.76E-14,353,0.004244745,1
0.059082876,0.018443979,6.11E-14,353,0.004244745,0
0.000194678,0.000319292,0.003921564,353,0.004244745,0
0.007726046,0.000850105,6.71E-15,353,0.004244745,0
4.58E-05,2.55E-06,4.00E-17,353,0.004244745,1
3.82E-05,2.60E-06,3.57E-17,353,0.004244745,1
0.00279802,0.002486954,0.003921564,353,0.004244745,1
0.002710224,0.000720643,4.25E-13,353,0.004244745,1
0.003481301,0.000358291,2.88E-15,353,0.004244745,1
0.003023235,0.000488015,2.64E-15,353,0.004244745,1
5.34E-05,3.53E-06,4.12E-17,353,0.004244745,1
4.58E-05,3.01E-06,3.69E-17,353,0.004244745,1
0.005794535,0.000640404,6.04E-09,353,0.004244745,1
0.000839788,0.000116267,1.24E-15,353,0.004244745,1
0.000862691,0.001468042,1.48E-09,353,0.004244745,1
0.011955522,0.00116001,1.05E-14,353,0.004244745,1
0.011955522,0.00227673,1.13E-14,353,0.004244745,1
0.000297743,0.000439346,8.42E-11,353,0.004244745,1
0.000374087,8.87E-05,1.90E-16,353,0.004244745,1
0.000389356,2.78E-05,3.54E-16,353,0.004244745,1
0.000183226,1.66E-05,1.61E-16,353,0.004244745,1
0.003924098,0.000388888,3.15E-15,353,0.004244745,1
0.007680239,0.001020021,7.12E-15,353,0.004244745,1
0.003920281,0.000731588,0.003921564,353,0.004244745,1
0.009615568,0.0126496,0.00392157,353,0.004244745,1
0.000167958,1.94E-05,1.53E-16,353,0.004244745,1
0.000122151,1.75E-05,1.64E-16,353,0.004244745,1
0.000103065,4.25E-05,0.003921563,353,0.004244745,1
0.003603452,0.000398568,2.99E-15,353,0.004244745,1
0.003091945,0.00055848,2.79E-15,353,0.004244745,0
0.000114516,2.34E-05,9.69E-17,353,0.004244745,0
0.000328281,5.76E-05,2.68E-16,353,0.004244745,0
0.000125968,4.41E-05,0.003921563,353,0.004244745,0
0.000297743,9.05E-05,8.63E-09,353,0.004244745,0
0.000175592,3.18E-05,1.21E-16,353,0.004244745,0
0.000179409,7.17E-05,0.003921563,353,0.004244745,0
0.000618389,7.61E-05,5.04E-16,353,0.004244745,0
0.000511507,0.000100592,4.75E-16,353,0.004244745,0
0.000427528,4.47E-05,6.01E-16,353,0.004244745,1
0.000538228,0.001009777,0.003921563,353,0.004244745,1
0.00215291,0.000328678,6.74E-13,353,0.004244745,1
0.002416298,0.003327327,0.003921574,353,0.004244745,1
0.000129785,2.47E-05,9.87E-17,353,0.004244745,1
0.000244302,3.84E-05,1.67E-16,353,0.004244745,1
0.000156506,8.37E-05,0.003921563,353,0.004244745,1
0.000240485,0.000128154,0.003921563,353,0.004244745,1
0.000229033,2.27E-05,1.15E-15,353,0.004244745,1
0.000614572,0.001924811,0.003921563,353,0.004244745,1
0.000480969,6.28E-05,5.18E-16,353,0.004244745,1
