Training Round,Loss Value
1,0.016399717
2,0.00950533
3,0.007455884
4,0.007180784
5,0.006974674
6,0.006673057
7,0.006432735
8,0.005699799
9,0.005719157
10,0.005695906
11,0.005674924
12,0.005733579
13,0.005805512
14,0.00584814
15,0.006001638
16,0.005838297
17,0.006170965
18,0.005890598
19,0.005813592
20,0.005843801
21,0.005921317
22,0.00577532
23,0.006164145
24,0.005967416
25,0.005899952
26,0.005750438
27,0.005928489
28,0.005860204
29,0.005635267
30,0.00573265
31,0.005640322
32,0.005657943
33,0.005518901
34,0.005664778
35,0.005683696
36,0.005618948
37,0.005889844
38,0.005605376
39,0.005985927
40,0.00575546
41,0.005669642
42,0.005608857
43,0.00570807
44,0.005819747
45,0.005708294
46,0.005599045
47,0.005605957
48,0.00579909
49,0.005676603
50,0.005726327
