Training Round,Loss Value,Accuracy,Validation Loss,Validation Accuracy
1,0.011301137506961823,0.9983950257301331,0.006140738260000944,0.9986577033996582
2,0.0060605378821492195,0.9985878467559814,0.005632772576063871,0.998384416103363
3,0.005663934163749218,0.9986622929573059,0.005432785488665104,0.9986273646354675
4,0.005526557099074125,0.9986531734466553,0.005449159536510706,0.9986759424209595
5,0.005501270294189453,0.9986972212791443,0.005579309072345495,0.9987002611160278
6,0.005465761758387089,0.9987093210220337,0.005402476992458105,0.9988217353820801
7,0.005412987899035215,0.9988323450088501,0.005446482915431261,0.998760998249054
8,0.0055250138975679874,0.998815655708313,0.005392827559262514,0.9989067316055298
9,0.005571342539042234,0.9988399147987366,0.006094117648899555,0.9987245202064514
10,0.005491652991622686,0.9988475441932678,0.005571408197283745,0.9987123608589172
11,0.005562706850469112,0.9988384246826172,0.005552996881306171,0.9989674687385559
12,0.005607388447970152,0.9988293051719666,0.005461931694298983,0.9989128112792969
13,0.0054533774964511395,0.9988961219787598,0.005612461362034082,0.9988399147987366
14,0.005674205720424652,0.9988626837730408,0.005842114333063364,0.9989128112792969
15,0.005664272233843803,0.9988596439361572,0.005568249151110649,0.9989128112792969
16,0.006218664813786745,0.9988171458244324,0.006672344170510769,0.9989978671073914
17,0.006729479879140854,0.9988535642623901,0.007095228880643845,0.9989917874336243
18,0.00632798857986927,0.9988945722579956,0.0068385242484509945,0.9986820220947266
19,0.0070490650832653046,0.9988186955451965,0.0070185065269470215,0.9990039467811584
20,0.007011333014816046,0.998836874961853,0.007048106752336025,0.9989917874336243
21,0.00694088963791728,0.9989006519317627,0.0071701244451105595,0.9989917874336243
22,0.007112222723662853,0.998782217502594,0.0071423109620809555,0.9987488389015198
23,0.007192839868366718,0.9987047910690308,0.007711926940828562,0.9985787868499756
24,0.007607401814311743,0.9985863566398621,0.00767851946875453,0.998645544052124
25,0.007190573960542679,0.9987488389015198,0.007244243752211332,0.998815655708313
26,0.007082757074385881,0.9987974166870117,0.008000299334526062,0.9983540177345276
27,0.007309611886739731,0.9987868070602417,0.007838563993573189,0.9989310503005981
28,0.007307679858058691,0.9987062811851501,0.00699093472212553,0.9989674687385559
29,0.0069684856571257114,0.9988277554512024,0.007122847251594067,0.9987670183181763
30,0.007356596179306507,0.9985848069190979,0.007679469417780638,0.9986759424209595
31,0.007387558463960886,0.9987047910690308,0.008361563086509705,0.9988217353820801
32,0.0077010574750602245,0.9986334443092346,0.0125245600938797,0.9980868101119995
33,0.008421456441283226,0.9984512329101562,0.007382552605122328,0.9986395239830017
34,0.00752228731289506,0.9985240697860718,0.007351219654083252,0.9986395239830017
35,0.007291179150342941,0.998536229133606,0.007405741140246391,0.9980685710906982
36,0.007605148945003748,0.9984238743782043,0.007360381074249744,0.9986273646354675
37,0.007509860675781965,0.9985164999961853,0.007489790674299002,0.9986395239830017
38,0.007245996501296759,0.9985286593437195,0.007716792169958353,0.9986395239830017
39,0.007508641108870506,0.9985119700431824,0.007317471317946911,0.998645544052124
40,0.008564748801290989,0.9984147548675537,0.012942184694111347,0.9981778860092163
41,0.013736431486904621,0.9980746507644653,0.013475346378982067,0.9981353878974915
42,0.013832943513989449,0.9980685710906982,0.013614715076982975,0.9980624914169312
43,0.01105841901153326,0.9982917904853821,0.01345872599631548,0.9981353878974915
44,0.013843120075762272,0.9980579614639282,0.013712472282350063,0.9980928897857666
45,0.01262663770467043,0.9981034994125366,0.007413249462842941,0.9986212849617004
46,0.007682484574615955,0.9985271096229553,0.0076543353497982025,0.9984815716743469
47,0.0075388140976428986,0.9985134601593018,0.007502072956413031,0.9986637830734253
48,0.008738042786717415,0.9984709620475769,0.026538288220763206,0.9984451532363892
49,0.007674552965909243,0.9984512329101562,0.007576844654977322,0.9986334443092346
50,0.00761368265375495,0.9985605478286743,0.009077114053070545,0.998542308807373
