Training Round,Loss Value32,Loss Value50,Loss Value100
0,0.125666401,,
0.2,0.105666401,,
0.5,0.06500239,,
1,0.08594719,,
2,0.057648262,0.10849873,
3,0.056046685,0.0581597,0.121112826
4,0.058427278,0.0565055,0.091134356
5,0.052435934,0.05540035,0.075850252
6,0.052621053,0.05495189,0.071486853
7,0.052361339,0.05526282,0.06725345
8,0.053441239,0.05297506,0.0657819
9,0.050887507,0.05346999,0.06355145
10,0.050721006,0.05297892,0.06140576
11,0.053619381,0.05352761,0.05845246
12,0.050649177,0.0525297,0.056251866
13,0.049831189,0.0527617,0.055833138
14,0.049229078,0.05276197,0.055390347
15,0.051978194,0.05239134,0.054811527
16,0.048728418,0.05189016,0.054257038
17,0.049046036,0.0523048,0.053217433
18,0.050092934,0.05177024,0.053785246
19,0.049733316,0.05118353,0.053156516
20,0.050988328,0.05313824,0.052429745
21,0.050416093,0.05249904,0.05317239
22,0.05266592,0.05252334,0.052420126
23,0.048701364,0.05148679,0.051840576
24,0.050954707,0.05169589,0.051790909
25,0.049903382,0.05088141,0.052228486
26,0.049585179,0.05157884,0.05229745
27,0.049647298,0.05228476,0.05117481
28,0.050809386,0.05262455,0.052302023
29,0.04903221,0.05239741,0.052415206
30,0.049691318,0.05204215,0.051607432
31,0.049786163,0.05215748,0.052471455
32,0.050243329,0.05080506,0.052068679
33,0.049902199,0.05112563,0.052295462
34,0.049910696,0.05118653,0.052265717
35,0.049526372,0.05042929,0.052952282
36,0.050630974,0.05175903,0.052287642
37,0.049639416,0.0511357,0.052378738
38,0.049256821,0.05150845,0.051606941
39,0.05079392,0.05199527,0.052411829
40,0.049165733,0.05176262,0.05208892
41,0.049670957,0.05252838,0.051657717
42,0.049922257,0.05257224,0.051873602
43,0.049891521,0.05246393,0.051637964
44,0.049333728,0.05176206,0.052204534
45,0.049025718,0.05210724,0.051968374
46,0.049963131,0.05271305,0.052408495
47,0.049878947,0.05157354,0.051765706
48,0.049326271,0.0519456,0.052129117
49,,0.05203592,0.051507239
50,,0.05398432,0.052489065
,,0.05273127,0.052023986
,,,0.051634436
