Training Round,Loss Value
0,0.125666401
0.2,0.105666401
0.5,0.06500239
1,0.08594719
2,0.057648262
3,0.056046685
4,0.058427278
5,0.052435934
6,0.052621053
7,0.052361339
8,0.053441239
9,0.050887507
10,0.050721006
11,0.053619381
12,0.050649177
13,0.049831189
14,0.049229078
15,0.051978194
16,0.048728418
17,0.049046036
18,0.050092934
19,0.049733316
20,0.050988328
21,0.050416093
22,0.05266592
23,0.048701364
24,0.050954707
25,0.049903382
26,0.049585179
27,0.049647298
28,0.050809386
29,0.04903221
30,0.049691318
31,0.049786163
32,0.050243329
33,0.049902199
34,0.049910696
35,0.049526372
36,0.050630974
37,0.049639416
38,0.049256821
39,0.05079392
40,0.049165733
41,0.049670957
42,0.049922257
43,0.049891521
44,0.049333728
45,0.049025718
46,0.049963131
47,0.049878947
48,0.049326271
49,
50,
