Training Round,Loss Value
1,0.008065651
2,0.015961224
3,0.014564373
4,0.090821004
5,0.01482918
6,0.086639421
7,0.08706579
8,0.078190034
9,0.077177817
10,0.079344492
11,0.077019176
12,0.075450861
13,0.077525158
14,0.076215919
15,0.076175062
16,0.075084874
17,0.076232818
18,0.075450554
19,0.075555872
20,0.076404419
21,0.074581676
22,0.076386016
23,0.074988394
24,0.076860669
25,0.073822434
26,0.073121167
27,0.073639126
28,0.074019036
29,0.073464606
30,0.070170839
31,0.071467999
32,0.07076256
33,0.070517045
34,0.069931699
35,0.068721743
36,0.068762475
37,0.066541862
38,0.066055446
39,0.064405855
40,0.065178634
41,0.064261751
42,0.063442211
43,0.058386335
44,0.059160721
45,0.059646759
46,0.058013983
47,0.057863798
48,0.058196271
49,0.05873898
50,0.058211833
