Training Round,Validation Loss
1,0.07560332
2,0.07458838
3,0.07709784
4,0.05832952
5,0.05559416
6,0.05679939
7,0.05399356
8,0.05412075
9,0.0521781
10,0.0531599
11,0.05316249
12,0.05219575
13,0.05330839
14,0.05339297
15,0.05247966
16,0.05236017
17,0.05206264
18,0.05247573
19,0.05481648
20,0.05329541
21,0.05288185
22,0.0525093
23,0.05245785
24,0.05104169
25,0.05110521
26,0.05246834
27,0.05387789
28,0.05331583
29,0.05277256
30,0.05173767
31,0.05364275
32,0.0503802
33,0.05090975
34,0.05084826
35,0.05200896
36,0.05151214
37,0.0527548
38,0.05232805
39,0.05200336
40,0.05221261
41,0.05183128
42,0.0513385
43,0.05183388
44,0.0529875
45,0.05320654
46,0.05093425
47,0.05230937
48,0.0524538
49,0.05364459
50,0.052944657
