Training Round,Loss Value,Accuracy,Validation Loss,Validation Accuracy
1,0.0089385025203228,0.9985286593437195,0.005981518421322107,0.998645544052124
2,0.006017480976879597,0.9985514283180237,0.005980529822409153,0.9986395239830017
3,0.005884021520614624,0.9984998106956482,0.005623933859169483,0.998645544052124
4,0.005699360743165016,0.9986000061035156,0.0059014055877923965,0.998645544052124
5,0.0057477145455777645,0.9985468983650208,0.005732318852096796,0.9986759424209595
6,0.005680686794221401,0.9985544681549072,0.0058176531456410885,0.9986759424209595
7,0.005529546178877354,0.9985969662666321,0.005379326641559601,0.9986759424209595
8,0.005478892009705305,0.9986607432365417,0.005540250334888697,0.9986395239830017
9,0.00536577170714736,0.9986288547515869,0.005515215452760458,0.998645544052124
10,0.005387360230088234,0.9985833168029785,0.005530059803277254,0.9986577033996582
11,0.0053637963719666,0.9986166954040527,0.005354272201657295,0.9986395239830017
12,0.005420453380793333,0.9986015558242798,0.006098077166825533,0.998645544052124
13,0.005396837368607521,0.9985878467559814,0.005715655162930489,0.9982568621635437
14,0.00534084951505065,0.9986166954040527,0.005847603548318148,0.9981171488761902
15,0.005276570562273264,0.9986015558242798,0.005480591673403978,0.9986759424209595
16,0.0053129117004573345,0.9986288547515869,0.005629370920360088,0.9986759424209595
17,0.00535072386264801,0.9986577033996582,0.006233139429241419,0.9981536269187927
18,0.005544890649616718,0.9985727071762085,0.005642026197165251,0.9985969662666321
19,0.005510239861905575,0.9985589981079102,0.0055327098816633224,0.998645544052124
20,0.005263443570584059,0.9986273646354675,0.005474423989653587,0.9986698627471924
21,0.005642657168209553,0.9985741972923279,0.005571075715124607,0.9986759424209595
22,0.005595228169113398,0.9986197352409363,0.005690095480531454,0.9986395239830017
23,0.005628764163702726,0.9986106157302856,0.005785547662526369,0.9987002611160278
24,0.005341182928532362,0.9986258149147034,0.005475861486047506,0.9986698627471924
25,0.005437873769551516,0.9986060857772827,0.005513544660061598,0.9986395239830017
26,0.005660694092512131,0.998645544052124,0.006290541961789131,0.9986698627471924
27,0.005968302022665739,0.9985985159873962,0.006161116063594818,0.9985119700431824
28,0.006346297450363636,0.9986060857772827,0.0075643728487193584,0.9986698627471924
29,0.006774297449737787,0.9986379742622375,0.007036803290247917,0.9986698627471924
30,0.006556172389537096,0.9985924363136292,0.006813855841755867,0.9986759424209595
31,0.00695390347391367,0.9985468983650208,0.006433310452848673,0.9986577033996582
32,0.006419790908694267,0.9985468983650208,0.0061524189077317715,0.998536229133606
33,0.006542012561112642,0.9985544681549072,0.00694486266002059,0.9982629418373108
34,0.006584057584404945,0.9986060857772827,0.006431952118873596,0.9986637830734253
35,0.008771414868533611,0.9984466433525085,0.01291345153003931,0.9981475472450256
36,0.009113435633480549,0.9983312487602234,0.00945235975086689,0.9981171488761902
37,0.010111282579600811,0.9982978701591492,0.010503541678190231,0.9981293082237244
38,0.007383551448583603,0.9984208345413208,0.006282032001763582,0.9985666275024414
39,0.0063228486105799675,0.9986440539360046,0.007394436746835709,0.998645544052124
40,0.007300405763089657,0.9985772371292114,0.007715756539255381,0.998645544052124
41,0.006872174330055714,0.9985666275024414,0.006538438145071268,0.9986577033996582
42,0.006797852460294962,0.9986000061035156,0.0069274986162781715,0.9986516237258911
43,0.006881152745336294,0.998536229133606,0.006507938262075186,0.9986577033996582
44,0.0068425703793764114,0.998542308807373,0.007343920413404703,0.9986273646354675
45,0.007256452459841967,0.9985635876655579,0.006812941748648882,0.9986577033996582
46,0.006715651601552963,0.9985256195068359,0.007075783330947161,0.9986698627471924
47,0.00708251865580678,0.9985575079917908,0.006794555578380823,0.9986698627471924
48,0.00688833137974143,0.9986076354980469,0.007217239122837782,0.998645544052124
49,0.007481900043785572,0.9985635876655579,0.007567006163299084,0.9986577033996582
50,0.007662253454327583,0.9985377788543701,0.007418852299451828,0.9986698627471924
