Training Round,Loss Value
1,
2,
3,
4,0.121112826
5,0.091134356
6,0.072850252
7,0.066486853
8,0.06325345
9,0.062819
10,0.062355145
11,0.061640576
12,0.06145246
13,0.06151866
14,0.060833138
15,0.060390347
16,0.059811527
17,0.059257038
18,0.059217433
19,0.059785246
20,0.060156516
21,0.059429745
22,0.05937239
23,0.05820126
24,0.058684058
25,0.059490909
26,0.059228486
27,0.05929745
28,0.05917481
29,0.058302023
30,0.058415206
31,0.057607432
32,0.058471455
33,0.058068679
34,0.058295462
35,0.058265717
36,0.057952282
37,0.058287642
38,0.058378738
39,0.057606941
40,0.057411829
41,0.05808892
42,0.057657717
43,0.057873602
44,0.057637964
45,0.058204534
46,0.057968374
47,0.057408495
48,0.057765706
49,0.058129117
50,0.057507239
,0.058489065
,0.058023986
,0.057634436
