Training Round,Validation Loss
1,0.07021032
2,0.068105518
3,0.064267006
4,0.05907938
5,0.05552438
6,0.05523934
7,0.05535548
8,0.05529371
9,0.05512942
10,0.0552556
11,0.05417239
12,0.0543331
13,0.05354272
14,0.0534392
15,0.05233139
16,0.052527499
17,0.05207783
18,0.051736803
19,0.052281386
20,0.052644863
21,0.052431952
22,0.052152419
23,0.052394437
24,0.052564373
25,0.053198053
26,0.053161116
27,0.052817653
28,0.052901406
29,0.05232319
30,0.051817653
31,0.05239327
32,0.05271076
33,0.052690095
34,0.052287642
35,0.05153545
36,0.05290542
37,0.05245861
38,0.05254025
39,0.05251215
40,0.05283006
41,0.053379637
42,0.053098077
43,0.053715655
44,0.05327604
45,0.053176571
46,0.0529117
47,0.05340592
48,0.05312026
49,0.05213271
50,0.052474424
