Training Round,Loss Value0.1,Loss Value0.3,Loss Value0
1,0.092144925,,
2,0.054467944,0.088811349,
3,0.0543522,0.062792436,0.088862088
4,0.055034128,0.062414128,0.06796835
5,0.05541842,0.062389825,0.078261681
6,0.054356903,0.062799263,0.082762074
7,0.054086018,0.060657691,0.070233038
8,0.053464496,0.05826625,0.070396448
9,0.052316361,0.058413851,0.061165933
10,0.050910255,0.057940017,0.06113688
11,0.052439114,0.056757135,0.057629263
12,0.051212669,0.056617833,0.064297845
13,0.052141296,0.056491522,0.059702992
14,0.051305909,0.056483536,0.058749821
15,0.050546532,0.055932435,0.058140373
16,0.050428901,0.054388703,0.058780247
17,0.052357218,0.05312657,0.057323799
18,0.054293517,0.053824158,0.057914783
19,0.053114505,0.053214133,0.056906696
20,0.052016885,0.052236947,0.055582142
21,0.051243994,0.052201133,0.055118939
22,0.051004821,0.05156484,0.053834505
23,0.051003187,0.051378384,0.053656748
24,0.053542852,0.051128953,0.052675419
25,0.05107977,0.051114308,0.051110666
26,0.052750334,0.05163902,0.050964826
27,0.050527835,0.051288097,0.049641286
28,0.050374139,0.05093683,0.049004387
29,0.050260513,0.050934236,0.052127801
30,0.05078576,0.050784512,0.050215092
31,0.050771497,0.050517484,0.050169821
32,0.050164415,0.050576702,0.050528175
33,0.049149417,0.050755902,0.050448966
34,0.04910443,0.050617787,0.051807524
35,0.049723145,0.050271475,0.052540135
36,0.049714707,0.050256839,0.053032618
37,0.049424544,0.0501145,0.052515757
38,0.049290359,0.050107632,0.052037258
39,0.049285344,0.050269123,0.052525522
40,0.049840612,0.049912315,0.051845601
41,0.049735839,0.049808617,0.05137037
42,0.048368471,0.049764011,0.051527405
43,0.048361542,0.049362462,0.051144315
44,0.048657516,0.049600024,0.05055903
45,0.04822203,0.049582757,0.05007247
46,0.048949844,0.049643787,0.049853438
47,0.048120217,0.049417773,0.050819595
48,0.048608975,0.049532554,0.050672963
49,0.04875923,0.04925427,0.050709131
50,0.047861794,0.049295342,0.050146091
,,0.049898429,0.049238489
,,,0.051341676
