Training Round,Loss Value,Accuracy,Validation Loss,Validation Accuracy
1,0.092144925,0.998454273,0.005588316,0.998645544
2,0.054467944,0.99872756,0.00574888,0.998645544
3,0.052750334,0.99872303,0.005647874,0.998645544
4,0.052016885,0.998753369,0.005661558,0.998645544
5,0.05107977,0.99873513,0.005280923,0.998675942
6,0.050527835,0.998759449,0.005343881,0.998675942
7,0.050374139,0.998776138,0.005327148,0.998669863
8,0.049723145,0.998773098,0.005310929,0.998675942
9,0.049714707,0.998762488,0.005229231,0.998639524
10,0.049424544,0.998779178,0.005058812,0.998675942
11,0.048949844,0.99871695,0.005157093,0.998669863
12,0.048120217,0.99873817,0.005375803,0.998645544
13,0.051003187,0.998675942,0.005248969,0.998688102
14,0.048608975,0.998771608,0.005371687,0.998669863
15,0.049290359,0.99871695,0.005257734,0.998457313
16,0.049285344,0.998715401,0.005441629,0.998688102
17,0.050260513,0.998756409,0.005197821,0.998657703
18,0.05078576,0.998701751,0.005461205,0.998669863
19,0.04875923,0.998757958,0.005403993,0.998663783
20,0.049840612,0.998707831,0.005138517,0.998675942
21,0.050771497,0.99873513,0.004998586,0.998700261
22,0.049735839,0.99873209,0.00521162,0.998663783
23,0.050164415,0.998750329,0.007444532,0.99809289
24,0.053114505,0.998642504,0.005449673,0.998669863
25,0.0543522,0.998642504,0.005776136,0.998663783
26,0.055034128,0.998657703,0.005985289,0.998536229
27,0.05541842,0.998647094,0.005435596,0.998682022
28,0.054356903,0.99872756,0.005698044,0.998663783
29,0.054086018,0.998713911,0.005347164,0.998675942
30,0.053464496,0.99872452,0.00544937,0.998669863
31,0.052316361,0.998744249,0.005401412,0.998663783
32,0.050910255,0.998742759,0.005462626,0.998651624
33,0.052439114,0.998692632,0.005742931,0.998682022
34,0.051212669,0.998692632,0.005418305,0.998663783
35,0.052141296,0.998644054,0.00522789,0.998639524
36,0.051305909,0.998685062,0.005327037,0.998688102
37,0.050546532,0.998704791,0.005101935,0.998688102
38,0.050428901,0.998779178,0.005630461,0.998675942
39,0.052357218,0.998742759,0.005639235,0.998688102
40,0.054293517,0.998700261,0.005268082,0.998688102
41,0.051243994,0.998713911,0.00533013,0.998663783
42,0.049149417,0.99874121,0.005273642,0.998675942
43,0.04910443,0.998739719,0.00512536,0.998682022
44,0.047861794,0.998760998,0.005093468,0.998688102
45,0.051004821,0.998669863,0.005232398,0.998712361
46,0.048368471,0.998753369,0.005124936,0.998669863
47,0.048361542,0.998760998,0.005286606,0.998669863
48,0.053542852,0.99872911,0.00508901,0.998663783
49,0.048657516,0.998782218,0.005174026,0.998688102
50,0.04822203,0.998763978,0.005251019,0.998669863
