Training Round,Loss Value,Accuracy,Validation Loss,Validation Accuracy
1,0.088811349,0.998454273,0.005805451,0.998645544
2,0.053214133,0.998762488,0.005793042,0.998645544
3,0.052236947,0.998762488,0.005797199,0.998651624
4,0.05163902,0.998786807,0.005667264,0.998675942
5,0.051288097,0.998791337,0.005620237,0.998675942
6,0.050784512,0.998788297,0.005484811,0.998675942
7,0.049912315,0.998794377,0.005540472,0.998651624
8,0.051128953,0.998763978,0.005536125,0.998609126
9,0.05093683,0.998633444,0.005646709,0.998688102
10,0.050256839,0.998776138,0.005643298,0.998669863
11,0.050934236,0.998742759,0.005505333,0.998657703
12,0.049764011,0.998782218,0.005389612,0.998675942
13,0.049808617,0.998780727,0.00588989,0.998669863
14,0.050517484,0.998770058,0.005815391,0.998663783
15,0.050271475,0.998771608,0.005587741,0.998669863
16,0.0501145,0.998774648,0.005432721,0.998675942
17,0.049362462,0.998786807,0.005613473,0.99851805
18,0.049600024,0.998783767,0.005566749,0.998675942
19,0.049582757,0.998777688,0.005512564,0.99852407
20,0.049643787,0.998782218,0.005616088,0.998669863
21,0.049417773,0.998795867,0.00557724,0.998675942
22,0.049532554,0.998779178,0.005455718,0.998645544
23,0.04925427,0.998774648,0.005405882,0.998675942
24,0.049295342,0.998786807,0.005423955,0.998675942
25,0.050107632,0.998788297,0.005727344,0.998675942
26,0.049898429,0.998791337,0.005625083,0.998645544
27,0.050269123,0.998783767,0.005731937,0.998675942
28,0.051114308,0.998779178,0.005640717,0.998669863
29,0.05156484,0.99873209,0.005604534,0.998675942
30,0.052201133,0.998776138,0.005905338,0.998675942
31,0.056483536,0.998768568,0.005829682,0.998663783
32,0.050576702,0.998785257,0.005558965,0.998669863
33,0.050755902,0.998788297,0.005676318,0.998183966
34,0.050617787,0.998783767,0.005423189,0.998718441
35,0.055932435,0.998798907,0.005674191,0.998651624
36,0.051378384,0.998789847,0.005652505,0.998688102
37,0.054388703,0.998777688,0.005631441,0.998688102
38,0.05312657,0.998803496,0.005985593,0.998700261
39,0.053824158,0.998794377,0.007013045,0.998675942
40,0.057940017,0.998762488,0.005872013,0.998675942
41,0.05826625,0.998767018,0.006601691,0.998675942
42,0.062799263,0.998706281,0.006259398,0.998663783
43,0.060657691,0.998770058,0.006739402,0.998609126
44,0.056491522,0.998768568,0.006678392,0.998536229
45,0.056757135,0.998762488,0.006122565,0.998663783
46,0.056617833,0.998791337,0.006400416,0.998675942
47,0.058413851,0.998797417,0.006706246,0.998675942
48,0.062414128,0.998789847,0.006631253,0.998657703
49,0.062389825,0.998779178,0.006640676,0.998675942
50,0.062792436,0.998783767,0.007501408,0.998639524
