Training Round,learning_rate=0.001,learning_rate=0.0001,learning_rate=0.00001
1,0.110833999,0.10385874,
2,0.060972394,0.058248877,
3,0.059931297,0.085743243,
4,0.058872392,0.054709357,
5,0.057334076,0.055044632,0.121112826
6,0.057241279,0.055593662,0.091134356
7,0.055955825,0.054510753,0.072850252
8,0.055433023,0.059253528,0.066486853
9,0.055504953,0.051729619,0.06325345
10,0.054696188,0.053920361,0.062819
11,0.054322272,0.053546032,0.062355145
12,0.053536668,0.05276481,0.061640576
13,0.053749653,0.052037245,0.06145246
14,0.053661116,0.053756824,0.06151866
15,0.053413012,0.052731194,0.060833138
16,0.05217141,0.051269198,0.060390347
17,0.052438932,0.049776635,0.059811527
18,0.053446037,0.053032046,0.059257038
19,0.053200759,0.052450202,0.059217433
20,0.0532042,0.051426639,0.059785246
21,0.054215807,0.053323847,0.060156516
22,0.052957502,0.051019536,0.059429745
23,0.052195285,0.050937994,0.05937239
24,0.053717569,0.052042054,0.05820126
25,0.052686129,0.052191517,0.058684058
26,0.051724706,0.05347026,0.059490909
27,0.053029144,0.051484504,0.059228486
28,0.052901912,0.052695004,0.05929745
29,0.052527832,0.0526771,0.05917481
30,0.051151519,0.052475543,0.058302023
31,0.051738152,0.052530412,0.058415206
32,0.052437939,0.052093281,0.057607432
33,0.052349421,0.05196908,0.058471455
34,0.052009445,0.051904605,0.058068679
35,0.051925671,0.051692189,0.058295462
36,0.051720901,0.051188758,0.058265717
37,0.051988565,0.053068139,0.057952282
38,0.05197869,0.054349718,0.058287642
39,0.051600023,0.053260215,0.058378738
40,0.051755207,0.055101267,0.057606941
41,0.052075628,0.052950787,0.057411829
42,0.052034956,0.051641278,0.05808892
43,0.051913828,0.053673871,0.057657717
44,0.052111355,0.051047383,0.057873602
45,0.051843709,0.052731678,0.057637964
46,0.051436682,0.050947288,0.058204534
47,0.052483206,0.050826598,0.057968374
48,0.05144113,0.051763329,0.057408495
49,0.051659987,0.051854029,0.057765706
50,0.052288768,0.052886965,0.058129117
,,,0.057507239
,,,0.058489065
,,,0.058023986
,,,0.057634436
