Training Round,Loss Value
1,0.110833999
2,0.060972394
3,0.059931297
4,0.058872392
5,0.057334076
6,0.057241279
7,0.055955825
8,0.055433023
9,0.055504953
10,0.054696188
11,0.054322272
12,0.053536668
13,0.053749653
14,0.053661116
15,0.053413012
16,0.05217141
17,0.052438932
18,0.053446037
19,0.053200759
20,0.0532042
21,0.054215807
22,0.052957502
23,0.052195285
24,0.053717569
25,0.052686129
26,0.051724706
27,0.053029144
28,0.052901912
29,0.052527832
30,0.051151519
31,0.051738152
32,0.052437939
33,0.052349421
34,0.052009445
35,0.051925671
36,0.051720901
37,0.051988565
38,0.05197869
39,0.051600023
40,0.051755207
41,0.052075628
42,0.052034956
43,0.051913828
44,0.052111355
45,0.051843709
46,0.051436682
47,0.052483206
48,0.05144113
49,0.051659987
50,0.052288768
